단어,감성점수
호조,1
급등,2
성장,1
상승,1
회복,1
확대,2
호황,1
호재,1
강세,1
흑자,2
안정,1
견조,1
낙관,1
기록,1
돌파,2
최고치,1
신기록,2
전망,2
활황,2
회복세,1
투자,2
낙관적,1
반등,2
회복국면,2
유입,2
순이익,2
배당,2
실적,2
호실적,2
강세장,2
순항,1
이익,1
수익,2
성장률,2
점유율,2
고용증가,1
금리인하,2
정책효과,1
외국인매수,1
자금유입,1
모멘텀,1
고조,1
지지선,2
반등세,2
신장세,2
거래활성화,2
경기확장,2
분기최고,1
매수세,2
고평가,2
수요증가,1
내수확대,2
소비증가,1
탄탄,2
기술개발,1
구조조정성공,2
생산증가,2
목표달성,1
인플레완화,1
수익개선,1
실적호전,1
유망,1
전략적제휴,1
고용창출,1
정책호응,1
기업호전,2
신사업,2
신기술,1
혁신,2
점진적개선,2
내수호조,2
수출증가,2
경제회복,1
수주증가,2
매출상승,1
원자재가격하락,2
비용절감,2
재무건전성,2
투자확대,1
소비심리회복,2
신용등급상향,1
기업실적,2
경쟁력강화,1
기술력,2
신제품출시,1
전략효과,1
수익확대,2
해외진출,1
장기호황,2
수요회복,2
경기상승,2
고용안정,2
협력강화,2
브랜드강화,2
신뢰도상승,2
지속가능성,2
경기회복,2
고객확보,2
내수증가,2
이자수익,1
실질성장,1
기대감,2
신뢰형성,2
우호적,2
성공,2
수주호조,2
기술우위,2
고부가가치,2
매출개선,2
시장확대,1
자산증가,2
경쟁우위,1
시장안착,2
조기달성,2
계획달성,1
외형성장,2
내실강화,1
수익성개선,2
분기호조,2
매출호조,1
강한수요,2
성공적인,1
유리한,2
호응,1
공급확대,1
외부수요,2
실적개선,2
핵심기술,1
기술확보,2
성공전략,2
자금조달,2
브랜드파워,1
시장점유,1
수익창출,1
미래성장,1
공급확대,1
업황호조,1
자산건전성,1
신제품개발,1
고효율,1
신성장동력,2
매출증가,1
수익증대,2
생산성향상,2
구조개선,2
연구개발,1
회복기미,1
침체,-1
하락,-1
급락,-2
악화,-1
불안,-1
적자,-1
둔화,-1
타격,-1
약세,-2
위기,-1
혼조,-2
하향,-1
부진,-2
손실,-1
부정적,-1
악영향,-2
불확실,-2
조정,-2
추락,-1
파산,-2
실적악화,-1
부실,-1
매도세,-2
공포심리,-2
경기둔화,-1
구조조정,-1
실업,-2
환율급등,-2
유출,-2
리스크,-1
채무,-1
대출제한,-1
외환불안,-1
금리상승,-1
투자위축,-1
기업도산,-2
회복지연,-1
생산감소,-1
소비위축,-1
적자폭확대,-2
고물가,-1
수요감소,-1
내수부진,-2
주가하락,-1
낙폭확대,-1
원자재상승,-1
비용증가,-1
금리인상,-1
무역전쟁,-2
경제위축,-2
정책실패,-2
환율불안,-1
금융불안,-1
신용하락,-1
수출감소,-2
매출감소,-1
경기침체,-1
고용감소,-2
실업률상승,-1
파산신청,-2
수익감소,-2
실적저하,-2
불경기,-1
부채증가,-1
소비심리위축,-1
자금경색,-1
현금흐름악화,-1
경기하강,-1
재정악화,-1
수요부진,-2
무역적자,-1
기술력저하,-2
경쟁력약화,-1
공급과잉,-1
공급부족,-1
파업,-2
분쟁,-2
제재,-2
규제강화,-2
이자부담,-1
환차손,-2
연체율상승,-1
경제불확실성,-1
소비감소,-2
경기악화,-2
자금유출,-2
임금체불,-2
정리해고,-2
원화약세,-2
재고과잉,-2
유동성위기,-2
단기충격,-1
외환위기,-2
시장붕괴,-2
신뢰하락,-1
주가폭락,-2
공매도,-1
부정수급,-1
시장불신,-2
금리부담,-1
통화긴축,-1
매출급감,-1
소득감소,-1
고정비증가,-2
매출악화,-1
판매감소,-2
채무불이행,-1
사업철수,-1
공급차질,-1
경기후퇴,-1
수익저조,-2
경기불황,-2
시장침체,-1
불투명,-1
경기위축,-2
부정이슈,-1
주가급락,-1
악성재고,-1
감산,-2
감원,-2
투자감소,-2
수출부진,-1
공급불안,-1
소비둔화,-2
이익감소,-2
적자전환,-2
전망악화,-2
차입부담,-1
환율변동성,-2
공급망불안,-1
이자상승,-2
현금흐름악화,-1
신용불량,-2
비효율,-2
낮은수요,-2
수익성저하,-2
투자손실,-1
경쟁심화,-2
과잉경쟁,-1
정치불안,-1
수요위축,-1
정책불확실성,-1
이익둔화,-2
원가상승,-1
시장위축,-1
매출부진,-1
신뢰상실,-2
파산위기,-2
시장혼란,-2
소득격차,-2
경제악화,-1
채권부도,-1
디폴트,-2
비우호적,-1
산업침체,-1
현금부족,-1
기업부실,-2
낙관약화,-2
기업위기,-1
기술유출,-2
노사갈등,-2
수요정체,-2
투자부진,-2
수익하락,-2
고용불안,-1
불황,-2
생산감축,-1
내수침체,-1
가격급등,-2
인플레이션,-1
소비위축,-1
기업매각,-1
시장불안,-2
경제불황,-2
판매부진,-1
구조적문제,-2
이자지급불능,-2
기업경색,-2
내수감소,-2
신용경색,-1
지연,-1
수출둔화,-2
자산감소,-2
자금난,-1
부정확인,-1
경제경색,-2
경기불안정,-1
지표악화,-2
정세불안,-2
